activity_description,activity_description_fixed,isic_code,isic_code_fixed,isic_code_ref,isic_code_len,isic_code_fixed_len,isic_description_nisr,isic_description_un,isic_description_final,isic_code_target
ubucuruzi bwibyo kurya adandaza higanjemo umuceri nibindi,ubucuruzi bwibyo kurya adandaza higanjemo umuceri nibindi,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
KUBAZA IBIKORESHO BYO MUNZU,kubaza ibikoresho byo munzu,3100,3100,3100,4,4,Manufacture of furniture,Manufacture of furniture,Manufacture of furniture,3100
UBUHINZI BWO GUTUNGA URUGO,ubuhinzi bwo gutunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
ubuconco bw'ibiribwa,ubuconco bw'ibiribwa,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
UBUHINZI BWO GUTUNGA URUGO,ubuhinzi bwo gutunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
SALON DE BEAUTE,salon de beaute,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
GUHARURA IMIHANDA NOKUYIGANGA VUP,guharura imihanda nokuyiganga vup,4210,4210,4210,4,4,Construction of roads and railways,Construction of roads and railways,Construction of roads and railways,4210
UBUHINZI NGANDURARUGO,ubuhinzi ngandurarugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
Ubucuruzi bw'uruconco,ubucuruzi bw'uruconco,4719,4719,4719,4,4,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,4719
Ubudozi bw'imyenda ya badamu,ubudozi bw'imyenda ya badamu,1410,1410,1410,4,4,"Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel",1410
KUDANDAZA INKWETO,kudandaza inkweto,4782,4782,4782,4,4,"Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear",4782
boutique y'ibiribwa n'ibinyobwa bidatetse,boutique y'ibiribwa n'ibinyobwa bidatetse,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
UBUCURUZI BUDANDAZA HIGANJEMO IBIRIBWA,ubucuruzi budandaza higanjemo ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
Ubucuruzi budandaza bwiganjemo ibyo kurya,ubucuruzi budandaza bwiganjemo ibyo kurya,4781,4781,4781,4,4,"Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products",4781
Gucuruza ibiribwa ibinyobwa bisembuye n ibikoresho by isuku muri boutique,gucuruza ibiribwa ibinyobwa bisembuye n ibikoresho by isuku muri boutique,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
UBUCURUZI BWAMATUNGO MU ISOKO,ubucuruzi bwamatungo mu isoko,4620,4620,4620,4,4,Wholesale of agricultural raw materials and live animals,Wholesale of agricultural raw materials and live animals,Wholesale of agricultural raw materials and live animals,4620
AKAZI KO MU RUGO,akazi ko mu rugo,9700,9700,9700,4,4,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,9700
"Gusya amafu atandukanye hakoreshejwe icyuma (nka masaka ,imyumbati,Ibigori nibindi","gusya amafu atandukanye hakoreshejwe icyuma (nka masaka ,imyumbati,ibigori nibindi",1061,1061,1061,4,4,Manufacture of grain mill products,Manufacture of grain mill products,Manufacture of grain mill products,1061
UBUHINZI BUTUNGA URUGO,ubuhinzi butunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
"Gucuruza(ibishyimbo,isabune,umunyu,ibibiriti ,itabi, ibirayi,umuceri)","gucuruza(ibishyimbo,isabune,umunyu,ibibiriti ,itabi, ibirayi,umuceri)",4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
UBUHINZI BW'IBISHYIMBO,ubuhinzi bw'ibishyimbo,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
service z'ubudozi,service z'ubudozi,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
UBUCURUZI BW' IMBUTO( AVOKA),ubucuruzi bw'imbuto( avoka),4799,4799,4799,4,4,"Other retail sale not in stores, stalls or markets","Other retail sale not in stores, stalls or markets","Other retail sale not in stores, stalls or markets",4799
Gutsa amasaka,gutsa amasaka,1061,1061,1061,4,4,Manufacture of grain mill products,Manufacture of grain mill products,Manufacture of grain mill products,1061
UBUHINZI BW 'IMYUMBATI,ubuhinzi bw 'imyumbati,113,113,113,3,4,"Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",113
ubudandazi bwibiribwa,ubudandazi bwibiribwa,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
KUDANDAZA INTORYI MU ISOKO,kudandaza intoryi mu isoko,4781,4781,4781,4,4,"Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products",4781
"ubucuruzi bwimboga , ibitunguru, intoryi mnamashu","ubucuruzi bwimboga , ibitunguru, intoryi mnamashu",4781,4781,4781,4,4,"Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products",4781
Kwigisha Gusa,kwigisha gusa,8510,8510,8510,4,4,Pre-primary and primary education,Pre-primary and primary education,Pre-primary and primary education,8510
GUCURUZA INZOGA,gucuruza inzoga,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
UBUHINZI BWOROZI BW'URUGO,ubuhinzi bworozi bw'urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
"Ibirayi,amavuta yokurya,umuceri,amavuta yokwisiga","ibirayi,amavuta yokurya,umuceri,amavuta yokwisiga",4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
GUTANGA IBYO KUNYWA MUKABARI HIGANJEMO IKIGAGE,gutanga ibyo kunywa mukabari higanjemo ikigage,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
UBUCURUZI BW'IBIRIBWA,ubucuruzi bw'ibiribwa,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
kugura Imyaka ayigurisha,kugura imyaka ayigurisha,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
Kudandaza ubucosho higanjemo amavuta,kudandaza ubucosho higanjemo amavuta,4772,4772,4772,4,4,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores","Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores","Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",4772
"KWAKIRA, GUTANGA AMAFARANGA","kwakira, gutanga amafaranga",6419,6419,6419,4,4,Other monetary intermediation,Other monetary intermediation,Other monetary intermediation,6419
UBUCURUZI BUDANDAZA HIGANHEMO IBIKIRESHO BY'UBWUBATSI,ubucuruzi budandaza higanhemo ibikiresho by'ubwubatsi,4752,4752,4752,4,4,"Retail sale of hardware, paints and glass in specialized stores","Retail sale of hardware, paints and glass in specialized stores","Retail sale of hardware, paints and glass in specialized stores",4752
UBWUBATSI BWAMAZU,ubwubatsi bwamazu,4100,4100,4100,4,4,Construction of buildings,Construction of buildings,Construction of buildings,4100
UBUCURUZI BW'INZOGA,ubucuruzi bw'inzoga,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
"ubucuruzi bwa butike (jus,amasabune,fantaa)","ubucuruzi bwa butike (jus,amasabune,fantaa)",4773,4773,4773,4,4,Other retail sale of new goods in specialized stores,Other retail sale of new goods in specialized stores,Other retail sale of new goods in specialized stores,4773
acuruza avomesha amazi,acuruza avomesha amazi,3600,3600,3600,4,4,"Water collection, treatment and supply","Water collection, treatment and supply","Water collection, treatment and supply",3600
GUKANIKA IMODOKA NA MOTO,gukanika imodoka na moto,4520,4520,4520,4,4,Maintenance and repair of motor vehicles,Maintenance and repair of motor vehicles,Maintenance and repair of motor vehicles,4520
ubuvuzi bwagakondo,ubuvuzi bwagakondo,8690,8690,8690,4,4,Other human health activities,Other human health activities,Other human health activities,8690
ABIKORERA MU MIRIMO YO GUCUNGA UMUTEKANO,abikorera mu mirimo yo gucunga umutekano,8010,8010,8010,4,4,Private security activities,Private security activities,Private security activities,8010
UBWUBATSI BW'AMAZU,ubwubatsi bw'amazu,4100,4100,4100,4,4,Construction of buildings,Construction of buildings,Construction of buildings,4100
ubucuruzi budandaza bwimboga,ubucuruzi budandaza bwimboga,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
"bacuruza imboga  harimo inyanya ,imiteja,intoryi,sereri ,pavron","bacuruza imboga harimo inyanya ,imiteja,intoryi,sereri ,pavron",4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
kogosha abana n' abakuze,kogosha abana n'abakuze,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
GUCONGO NOKUBAKISHA IMIYENZI,gucongo nokubakisha imiyenzi,4330,4330,4330,4,4,Building completion and finishing,Building completion and finishing,Building completion and finishing,5555
ubudandazi bwibikoresho bisimbura ibyangiritse mu binyabiziga imodoka (spare parts),ubudandazi bwibikoresho bisimbura ibyangiritse mu binyabiziga imodoka (spare parts),4530,4530,4530,4,4,Sale of motor vehicle parts and accessories,Sale of motor vehicle parts and accessories,Sale of motor vehicle parts and accessories,4530
MANUFACTURE OF ELECTRIC LIGHTING EQUIPMENT,manufacture of electric lighting equipment,2740,2740,2740,4,4,Manufacture of electric lighting equipment,Manufacture of electric lighting equipment,Manufacture of electric lighting equipment,9999
UBWUBATSI BWAMAZU,ubwubatsi bwamazu,4100,4100,4100,4,4,Construction of buildings,Construction of buildings,Construction of buildings,4100
"ubucuruzi bwibiribwa ni bicanwa : (ibishyimbo , ibirayi , umuceri , akawunga ) amakara","ubucuruzi bwibiribwa ni bicanwa : (ibishyimbo , ibirayi , umuceri , akawunga ) amakara",4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
"Ubucuruzi bwiganje mo jus, umunyu, ifu y'ubugari, amavuta yo kurya no kwisiga, imineke, isabune, ...","ubucuruzi bwiganje mo jus, umunyu, ifu y'ubugari, amavuta yo kurya no kwisiga, imineke, isabune, ...",4719,4719,4719,4,4,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,4719
U ucuruzi budandaza (ibiribwa),u ucuruzi budandaza (ibiribwa),4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
UBUHINZI BWO GUTUNGA URUGO,ubuhinzi bwo gutunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
GUTWARA ABAGENZI KU IGAR,gutwara abagenzi ku igar,4921,4921,4921,4,4,Urban and suburban passenger land transport,Urban and suburban passenger land transport,Urban and suburban passenger land transport,4921
GUSANA IBIKORESHO BYA ELECTRONICS,gusana ibikoresho bya electronics,9512,9512,9512,4,4,Repair of communication equipment,Repair of communication equipment,Repair of communication equipment,9512
ubufasha mumirimo y'ubwubatsi,ubufasha mumirimo y'ubwubatsi,7490,7490,7490,4,4,"Other professional, scientific and technical activities n.e.c.","Other professional, scientific and technical activities n.e.c.","Other professional, scientific and technical activities n.e.c.",5555
UBUHINZI BW'UMUCERI,ubuhinzi bw'umuceri,112,112,112,3,4,Growing of rice,Growing of rice,Growing of rice,112
ubucuruzi budandaza ibyo kurya,ubucuruzi budandaza ibyo kurya,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
ubudozi bw'Imyenda,ubudozi bw'imyenda,1410,1410,1410,4,4,"Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel",1410
kudoda tailleur,kudoda tailleur,1410,1410,1410,4,4,"Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel",1410
Guha abantu ibyo kurya no kunywa,guha abantu ibyo kurya no kunywa,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
ubucuruzi budandaza ibiryo byamatungo,ubucuruzi budandaza ibiryo byamatungo,4630,4630,4630,4,4,"Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco",4630
Kogosha abantu,kogosha abantu,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
KUDANDAZA IBITABO,kudandaza ibitabo,4761,4761,4761,4,4," Retail sale of books, newspapers and stationary in specialized stores","Retail sale of books, newspapers and stationary in specialized stores"," Retail sale of books, newspapers and stationary in specialized stores",4761
ubucuruzi bw ' amabati,ubucuruzi bw 'amabati,4752,4752,4752,4,4,"Retail sale of hardware, paints and glass in specialized stores","Retail sale of hardware, paints and glass in specialized stores","Retail sale of hardware, paints and glass in specialized stores",4752
kogosha imisatsi,kogosha imisatsi,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
ubucuruzi bwiganjemo ibiribwa,ubucuruzi bwiganjemo ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
UBUHINZI BW'IMYUMBATI,ubuhinzi bw'imyumbati,113,113,113,3,4,"Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",113
"Gupima inzoga zibitoki,","gupima inzoga zibitoki,",5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
UBUCURUZI BW'IBIRIBWA,ubucuruzi bw'ibiribwa,4630,4630,4630,4,4,"Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco",4630
kudandaza higanjemo ibiribwa,kudandaza higanjemo ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
ubucuruzi budandaza,ubucuruzi budandaza,4719,4719,4719,4,4,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,4719
GUCURAZA IBINYOBWA MU KABARI,gucuraza ibinyobwa mu kabari,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
"uburimo bakora ,lodge ,bar hostel and services ,","uburimo bakora ,lodge ,bar hostel and services ,",5510,5510,5510,4,4,Short term accommodation activities,Short term accommodation activities,Short term accommodation activities,5510
UBUHINZI N'UBWOROZI BYO GUTUNGA URUGO,ubuhinzi n'ubworozi byo gutunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
rewinding ( Kubobina moteri za genetator),rewinding ( kubobina moteri za genetator),4520,4520,4520,4,4,Maintenance and repair of motor vehicles,Maintenance and repair of motor vehicles,Maintenance and repair of motor vehicles,4520
ubudandazi bwibicuruzwa bicye higanje ifu yubugali,ubudandazi bwibicuruzwa bicye higanje ifu yubugali,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
UBUDANDAZI BWA AVOCAT MU KUHANDA,ubudandazi bwa avocat mu kuhanda,4799,4799,4799,4,4,"Other retail sale not in stores, stalls or markets","Other retail sale not in stores, stalls or markets","Other retail sale not in stores, stalls or markets",4799
ubucuruzi budzndaza matelas mwiduka,ubucuruzi budzndaza matelas mwiduka,4719,4719,4719,4,4,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,4719
Ubucuruzi budandaza bwiganjemo ibiribwa,ubucuruzi budandaza bwiganjemo ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
gucuruza ibiribwa,gucuruza ibiribwa,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
kugura no kugurisha imyaka,kugura no kugurisha imyaka,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
Icyuma gisya kigakora amafu mu binyampeke,icyuma gisya kigakora amafu mu binyampeke,1061,1061,1061,4,4,Manufacture of grain mill products,Manufacture of grain mill products,Manufacture of grain mill products,1061
UBWUBATSI BW'AMAZU,ubwubatsi bw'amazu,4100,4100,4100,4,4,Construction of buildings,Construction of buildings,Construction of buildings,4100
UBWUBATSI,ubwubatsi,4100,4100,4100,4,4,Construction of buildings,Construction of buildings,Construction of buildings,4100
kuranguza ibicuruzwa no kubigurisha detail,kuranguza ibicuruzwa no kubigurisha detail,4719,4719,4719,4,4,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,4719
UBUHINZI BWIBIHINGWA BIDATINDA KWERA,ubuhinzi bwibihingwa bidatinda kwera,119,119,119,3,4,Growing of other non-perennial crops,Growing of other non-perennial crops,Growing of other non-perennial crops,5555
Gukwirakwiza amashanyarazi,gukwirakwiza amashanyarazi,3510,3510,3510,4,4," Electric power generation, transmission and distribution","Electric power generation, transmission and distribution"," Electric power generation, transmission and distribution",5555
acuruza inyanya nibitunguru,acuruza inyanya nibitunguru,4781,4781,4781,4,4,"Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products",4781
UBUCURUZI BWIGANJEMO IBIRIBWA,ubucuruzi bwiganjemo ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
gucyuruza amandazi n'imigati 'icyayi,gucyuruza amandazi n'imigati 'icyayi,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
IMIRIMO YO MU RUGO,imirimo yo mu rugo,9700,9700,9700,4,4,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,9700
kudandaza amainite ya telefone,kudandaza amainite ya telefone,4741,4741,4741,4,4,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores","Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores","Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",4741
bacyuruza Amandazi nicyayi badandaza,bacyuruza amandazi nicyayi badandaza,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
KUBAKA URUGOMERO RW'AMASHANYARAZI,kubaka urugomero rw'amashanyarazi,3510,3510,3510,4,4," Electric power generation, transmission and distribution","Electric power generation, transmission and distribution"," Electric power generation, transmission and distribution",5555
UBUHINZI BW'IBISHYIMBO,ubuhinzi bw'ibishyimbo,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
GUSUKA IMISATSI Y'ABAGORE,gusuka imisatsi y'abagore,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
ubucuruzi budandaza ibiribwa(ibitoki),ubucuruzi budandaza ibiribwa(ibitoki),4781,4781,4781,4,4,"Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products",4781
GUTANGA INGUZANYO,gutanga inguzanyo,6419,6419,6419,4,4,Other monetary intermediation,Other monetary intermediation,Other monetary intermediation,6419
kuranguza inzoga za Bralirwa mu bacuruzi,kuranguza inzoga za bralirwa mu bacuruzi,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
kudandaza ibitunguru,kudandaza ibitunguru,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
GUSANA INKWETO,gusana inkweto,9523,9523,9523,4,4, Repair of footwear and leather goods,Repair of footwear and leather goods, Repair of footwear and leather goods,9523
"UBUHINZI BW'URUSENDA, IBIGORI NA SOYA","ubuhinzi bw'urusenda, ibigori na soya",111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
gucuruza amazi,gucuruza amazi,3600,3600,3600,4,4,"Water collection, treatment and supply","Water collection, treatment and supply","Water collection, treatment and supply",3600
UBUHINZI BW'ICYAYI,ubuhinzi bw'icyayi,127,127,127,3,4,Growing of beverage crops,Growing of beverage crops,Growing of beverage crops,127
boutique ivanze nakabari,boutique ivanze nakabari,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
UBUCURUZI BWIBIRIBWA,ubucuruzi bwibiribwa,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
UBUHINZI BW'IBIHINGWA BITANDUKANYE,ubuhinzi bw'ibihingwa bitandukanye,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
"UBUCURUZI BUDANDAZA BW'IBIRIBWA,","ubucuruzi budandaza bw'ibiribwa,",4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
UBUHINZI BW'IBISHYIMBO,ubuhinzi bw'ibishyimbo,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
UBWUBATSI BWAMAZU,ubwubatsi bwamazu,4100,4100,4100,4,4,Construction of buildings,Construction of buildings,Construction of buildings,4100
GUTUNGANYA ICYAYI,gutunganya icyayi,1079,1079,1079,4,4,Manufacture of other food products n.e.c.,Manufacture of other food products n.e.c.,Manufacture of other food products n.e.c.,1079
ubucuruzi bw'ibinyobwa bidasembuye higanjemo(amata),ubucuruzi bw'ibinyobwa bidasembuye higanjemo(amata),5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
ubudandazi bwiganjemo amavuta yo kurya,ubudandazi bwiganjemo amavuta yo kurya,4773,4773,4773,4,4,Other retail sale of new goods in specialized stores,Other retail sale of new goods in specialized stores,Other retail sale of new goods in specialized stores,4773
kudandaza ibikoresho bitagatifu,kudandaza ibikoresho bitagatifu,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
GUTUNGANYA IMISATSI,gutunganya imisatsi,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
UBUHINZI BWICYAYI,ubuhinzi bwicyayi,127,127,127,3,4,Growing of beverage crops,Growing of beverage crops,Growing of beverage crops,127
UBUDANDAZI BW'IBIRIBWA,ubudandazi bw'ibiribwa,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
ubucuruzi budandaza bwiganjemo ibitaribiribwa,ubucuruzi budandaza bwiganjemo ibitaribiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
"AKABARI:Inzoga zipfundikiye, ibinyobwa bidasembuye","akabari:inzoga zipfundikiye, ibinyobwa bidasembuye",5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
barogosha abagabo nabagore,barogosha abagabo nabagore,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
imashine isyu ibinyampeke,imashine isyu ibinyampeke,1061,1061,1061,4,4,Manufacture of grain mill products,Manufacture of grain mill products,Manufacture of grain mill products,1061
kuranguza imiti ivura abantu,kuranguza imiti ivura abantu,4772,4772,4772,4,4,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores","Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores","Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",4772
kudandaza ibiribwa muri boutique,kudandaza ibiribwa muri boutique,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
